Name,Location,Duration,Destination,Class,Price ($),Distance (km),Aircraft Type
Alaska Airlines,Shanghai,8:30,Jakarta,First,189.6,948,Boeing 787-10
Swiss International Air Lines,Sao Paulo,9:20,Lyon,Business,449.8,4498,De Havilland Dash 8
Qantas,Paris,2:30,Los Angeles,Economy,255.7,5114,Airbus A330
Qatar Airways,Tokyo,9:30,Paris,Economy,134.45,2689,Boeing 787-10
Airlines,Hong Kong,8:50,Dubai,First,328.8,1644,Embraer E190
SAS Scandinavian Airlines,Jakarta,1:20,Johannesburg,First,1479.6,7398,Airbus A220
Air France,Manchester,4:10,Delhi,First,768.2,3841,Airbus A220
Air India,Ottawa,9:10,Vancouver,Economy,94.4,1888,De Havilland Dash 8
Indigoo,Barcelona,5:10,Zurich,First,790.8,3954,Boeing 767
Asian Airlines,Los Angeles,8:10,Johannesburg,Economy,138.6,2772,Airbus A330
French Bee,Rome,10:30,Sydney,First,566.2,2831,Boeing 747
Gulf Air,Barcelona,11:50,Doha,First,359.2,1796,Boeing 777
Star Lines,Oslo,9:50,Tokyo,First,1499.6,7498,McDonnell Douglas MD-80
British Airways,Athens,9:40,Moscow,First,665.6,3328,Boeing 777X
Alaska Airlines,Athens,6:50,Madrid,Business,755.2,7552,Boeing 767
Southwest Airlines,Chicago,6:40,Athens,Business,360.3,3603,Embraer E190
Air International,Toronto,11:10,Bangkok,Business,905.3,9053,Airbus A330
Etihad Airways,Johannesburg,1:00,Delhi,Economy,466.0,9320,Boeing 777X
Air Canada,Hanoi,10:10,Helsinki,Economy,675.55,13511,Boeing 787-10
Qantas,Kolkata,4:00,Geneva,Economy,176.25,3525,Boeing 777
Qantas,Dubai,9:00,Venice,Economy,470.2,9404,Boeing 777
Vistara,Hong Kong,1:30,Manila,Business,289.1,2891,Boeing 737
United Airlines,Brazil,1:50,Amsterdam,First,357.2,1786,McDonnell Douglas MD-11
Emirates,Zurich,4:20,Dublin,Economy,247.5,4950,Boeing 777
Swiss International Air Lines,Melbourne,8:00,Madrid,Economy,378.25,7565,Boeing 787
Malaysia Airlines,Hanoi,10:50,Cape Town,Economy,236.75,4735,Airbus A330
Swiss International Air Lines,Madrid,1:10,Milan,Business,218.9,2189,Airbus A380
Lufthansa,Zurich,11:40,Mexico City,Economy,468.9,9378,Airbus A330
Lufthansa,Manila,12:00,Jakarta,Economy,444.2,8884,ATR 72
Air India,Hanoi,3:10,Oslo,Business,1121.5,11215,Boeing 757
Delta Airlines,Bangkok,6:30,Stockholm,Economy,221.55,4431,De Havilland Dash 8
Asian Airlines,Copenhagen,12:20,Moscow,Economy,379.5,7590,McDonnell Douglas MD-11
Qatar Airways,Vienna,6:40,Rome,First,856.2,4281,McDonnell Douglas MD-80
Singapore Airlines,Madrid,2:10,Mexico City,First,213.8,1069,Airbus A330
Air International,Kuala Lumpur,10:20,San Francisco,Business,785.5,7855,Airbus A350
Thai Airways,Mumbai,11:00,Miami,Economy,686.35,13727,Airbus A380
French Bee,Doha,10:00,Moscow,Economy,644.55,12891,Bombardier CRJ
X-Express,Manila,7:50,St. Petersburg,Business,952.3,9523,Boeing 787
Turkish Airlines,Singapore,4:50,Mumbai,Economy,69.0,1380,Boeing 747
Iberia Airlines,Amsterdam,9:30,Dubai,First,2487.6,12438,Airbus A320
Royal Jordanian,Rome,8:30,Jakarta,First,1357.0,6785,Boeing 777
American Airlines,Berlin,8:10,Prague,First,1821.2,9106,Boeing 737
Gulf Air,Manchester,3:50,Nairobi,Economy,272.65,5453,Boeing 767
Qatar Airways,Athens,7:00,Sao Paulo,Business,228.4,2284,Boeing 777
Turkish Airlines,Mexico City,9:40,San Francisco,First,1056.2,5281,Boeing 777X
Air Canada,New York,3:20,Prague,Economy,617.45,12349,Airbus A321
Air Canada,Toronto,3:30,Chicago,Business,1010.1,10101,Airbus A330neo
Gulf Air,Beijing,5:50,Johannesburg,Business,742.7,7427,Airbus A330
Southwest Airlines,Tokyo,7:00,Toronto,Business,854.6,8546,McDonnell Douglas MD-11
Southwest Airlines,Abu Dhabi,1:30,Manchester,First,505.8,2529,Boeing 787
Turkish Airlines,Barcelona,7:40,Geneva,Business,1177.4,11774,Airbus A330
Aeroflot,Stockholm,4:20,Rio de Janeiro,Business,1327.2,13272,Airbus A321
Malaysia Airlines,Ottawa,12:40,Delhi,Economy,48.35,967,Airbus A320
Qatar Airways,Abu Dhabi,9:30,Singapore,Economy,95.8,1916,Airbus A319
Royal Jordanian,Brisbane,10:20,Paris,First,2895.8,14479,ATR 72
LATAM Airlines,Istanbul,5:00,Brussels,Economy,541.0,10820,Airbus A380
Air Asia,Manchester,7:10,Bangkok,Business,237.4,2374,Boeing 737 MAX
Emirates,Brisbane,4:50,Hong Kong,First,2878.0,14390,Boeing 777X
Air Canada,Chicago,3:50,Doha,Business,789.3,7893,Airbus A220
Japan Airlines,Cairo,2:50,Munich,Economy,620.25,12405,Boeing 737 MAX
Turkish Airlines,Brazil,7:00,Mexico City,First,314.2,1571,Boeing 737
Air India,Rome,10:10,Doha,First,613.0,3065,Airbus A321
Swiss International Air Lines,Mumbai,12:40,Hanoi,Economy,266.5,5330,Boeing 777
Air India,Johannesburg,8:20,Kuala Lumpur,Business,1372.0,13720,Airbus A380
Airlines,Singapore,10:50,Ho Chi Minh City,Business,423.6,4236,Embraer E190
Air Asia,Manchester,11:00,Oslo,Economy,560.3,11206,ATR 72
Air International,Stockholm,2:00,Buenos Aires,Business,287.9,2879,Bombardier CRJ
French Bee,Nairobi,5:30,Brussels,Business,1113.7,11137,Airbus A380
Air India,Jakarta,7:40,Hanoi,Economy,685.85,13717,Boeing 737
Air International,Mumbai,8:10,Ho Chi Minh City,First,1585.2,7926,Airbus A319
Lufthansa,Bangkok,8:10,Berlin,Economy,298.0,5960,Boeing 767
Air India,Texas,12:30,Singapore,First,2605.6,13028,Boeing 787
Air India,London,9:40,Lyon,First,2395.0,11975,Airbus A319
Etihad Airways,Kuala Lumpur,1:00,Doha,First,585.0,2925,Airbus A320
Go First,Texas,7:00,Ho Chi Minh City,Business,1455.2,14552,Boeing 767
Air India,Stockholm,11:30,Moscow,Business,1417.7,14177,De Havilland Dash 8
Star Lines,Beijing,11:20,Kuala Lumpur,Business,411.7,4117,Boeing 787-10
Star Lines,Barcelona,12:50,Vancouver,Business,821.2,8212,McDonnell Douglas MD-80
X-Express,Barcelona,11:20,Dubai,Business,1446.7,14467,Airbus A380
Vistara,New York,10:20,Jakarta,First,1416.4,7082,Airbus A321
Easy Jet,Dublin,9:40,Hanoi,First,661.4,3307,McDonnell Douglas MD-80
Gulf Air,Bangkok,9:20,Beijing,First,1086.6,5433,Boeing 777X
Aeroflot,Oslo,2:00,Budapest,Business,885.2,8852,Airbus A220
SAS Scandinavian Airlines,Nairobi,8:20,San Francisco,Economy,163.25,3265,Boeing 737 MAX
Cathay Pacific,London,9:30,Oslo,First,817.8,4089,Airbus A380
Air Canada,Mexico City,5:20,Vienna,Business,1062.6,10626,Boeing 777X
Delta Airlines,Mexico City,1:20,Venice,First,1406.2,7031,Airbus A220
Air India,Amsterdam,12:20,Geneva,Economy,364.85,7297,Boeing 777X
Emirates,Oslo,3:30,Athens,Business,247.5,2475,Boeing 737 MAX
Virgin Atlantic,Madrid,5:50,Amsterdam,Economy,490.05,9801,Boeing 777
Iberia Airlines,Mexico City,5:00,Beijing,Economy,672.8,13456,Airbus A330
Virgin Atlantic,Beijing,6:50,Beijing,Business,333.3,3333,Airbus A380
Turkish Airlines,Barcelona,10:30,Amsterdam,Business,1371.2,13712,Airbus A350
Etihad Airways,Copenhagen,11:20,Dubai,Economy,556.8,11136,De Havilland Dash 8
Air Canada,Johannesburg,1:00,Chicago,First,1789.8,8949,Airbus A380
Indigoo,Moscow,2:40,St. Petersburg,First,2020.4,10102,Airbus A220
Star Lines,Toronto,3:40,Ho Chi Minh City,First,2122.2,10611,Boeing 787-10
Delta Airlines,Brazil,12:10,Ho Chi Minh City,Business,997.8,9978,Boeing 767
Delta Airlines,Kuala Lumpur,1:00,Sao Paulo,Business,1090.9,10909,Airbus A320
Star Lines,Jakarta,4:00,Dublin,Economy,366.35,7327,Boeing 737
Star Lines,Lisbon,9:00,Warsaw,Business,584.6,5846,Boeing 777X
Asian Airlines,Dublin,7:00,Athens,First,1818.0,9090,Airbus A320
United Airlines,Brisbane,8:00,Prague,Economy,574.1,11482,Boeing 787
Lufthansa,Melbourne,8:30,Miami,Business,376.1,3761,Airbus A320
American Airlines,Kolkata,2:30,Vancouver,First,620.2,3101,Boeing 737
Gulf Air,Sydney,2:40,Prague,First,2606.6,13033,Airbus A380
Air India,Seoul,10:10,Miami,Economy,466.65,9333,Boeing 777
Space Jet,Bangkok,11:40,Lyon,First,870.8,4354,Airbus A350
British Airways,Sydney,8:00,Oslo,First,494.0,2470,Airbus A330
Alaska Airlines,Kuala Lumpur,8:40,Bangkok,First,320.8,1604,Boeing 777
Qatar Airways,Moscow,2:40,Cape Town,Business,75.2,752,Airbus A350
Lufthansa,Tokyo,7:50,Bangkok,First,639.4,3197,Bombardier CRJ
American Airlines,Paris,4:00,Toronto,Business,399.6,3996,ATR 72
United Airlines,Singapore,5:00,Chicago,Economy,442.05,8841,Airbus A330
British Airways,Manila,12:20,Manila,Business,880.6,8806,Airbus A220
American Airlines,Dubai,7:30,Israel,Economy,534.15,10683,Airbus A320
British Airways,Johannesburg,3:30,Dubai,Economy,142.45,2849,Airbus A220
Easy Jet,Buenos Aires,9:40,Athens,First,867.0,4335,Airbus A330neo
Singapore Airlines,Texas,8:40,Bangkok,Business,1180.1,11801,Boeing 737 MAX
Air Canada,London,12:10,Warsaw,Business,398.4,3984,Boeing 737
Southwest Airlines,Rome,3:10,Dublin,Economy,28.4,568,McDonnell Douglas MD-11
Qantas,Brisbane,3:50,Delhi,Business,292.7,2927,Airbus A330neo
French Bee,Rome,9:20,Sydney,First,716.6,3583,Airbus A321
Go First,Cairo,5:10,New York,First,475.0,2375,Airbus A350
Swiss International Air Lines,Vienna,3:50,Sydney,Business,845.0,8450,Airbus A319
Royal Jordanian,Vienna,12:40,Dhaka,Economy,265.45,5309,McDonnell Douglas MD-80
Southwest Airlines,Amsterdam,6:40,Barcelona,Business,1297.7,12977,Airbus A380
SAS Scandinavian Airlines,Istanbul,1:30,Hanoi,First,1625.0,8125,Boeing 777
Indigoo,Zurich,7:20,Miami,First,2396.4,11982,De Havilland Dash 8
LATAM Airlines,Copenhagen,2:10,Lyon,Business,95.9,959,Boeing 757
Easy Jet,Chennai,5:40,Mexico City,Economy,707.95,14159,McDonnell Douglas MD-11
SAS Scandinavian Airlines,Buenos Aires,9:50,Chicago,First,1845.8,9229,Embraer E190
Turkish Airlines,Copenhagen,1:10,Moscow,Business,746.4,7464,Boeing 747
Air France,Johannesburg,3:50,Mumbai,Economy,310.25,6205,Airbus A319
Air India,Cairo,9:00,Istanbul,Business,55.7,557,McDonnell Douglas MD-11
Lufthansa,Jakarta,4:20,Barcelona,First,1867.8,9339,De Havilland Dash 8
Air France,Madrid,12:30,Los Angeles,Business,634.9,6349,Airbus A319
LATAM Airlines,Sao Paulo,3:50,Mexico City,First,1680.4,8402,Airbus A330neo
Delta Airlines,Brazil,1:00,Vienna,First,2336.2,11681,Airbus A220
X-Express,Amsterdam,6:40,Vancouver,Economy,690.2,13804,Embraer E190
Star Lines,Cairo,3:50,Lyon,Business,887.6,8876,Airbus A220
Space Jet,Istanbul,10:30,Mexico City,Business,326.5,3265,Boeing 747
SAS Scandinavian Airlines,Lisbon,8:40,Kuala Lumpur,Business,528.5,5285,De Havilland Dash 8
Alaska Airlines,Los Angeles,7:00,Dubai,Business,53.1,531,Airbus A380
Vistara,Moscow,9:00,Paris,First,1840.2,9201,Airbus A350
Go First,Beijing,10:40,Munich,Business,107.1,1071,Airbus A319
Qatar Airways,Nairobi,9:20,Prague,Economy,695.65,13913,Boeing 787
Southwest Airlines,Kolkata,11:30,Brussels,First,417.4,2087,Boeing 777
Alaska Airlines,Edinburgh,7:00,Chicago,Business,1140.6,11406,Airbus A320
Swiss International Air Lines,London,2:40,Dubai,Economy,107.3,2146,Boeing 777X
Aeroflot,Johannesburg,7:00,Athens,Economy,565.25,11305,Boeing 737 MAX
X-Express,Delhi,1:20,Madrid,First,1454.4,7272,Airbus A321
British Airways,Stockholm,10:10,Istanbul,First,1105.0,5525,Airbus A321
Malaysia Airlines,Athens,9:20,Miami,Economy,34.2,684,Bombardier CRJ
Iberia Airlines,Shanghai,2:10,Cairo,First,1597.0,7985,Boeing 787
Swiss International Air Lines,Delhi,1:10,Zurich,Economy,713.35,14267,Airbus A330
Star Lines,Rome,3:20,Beijing,Business,356.0,3560,Boeing 757
Southwest Airlines,Sydney,8:20,Miami,Economy,647.55,12951,Boeing 777X
Swiss International Air Lines,Sydney,4:50,Amsterdam,Business,1061.1,10611,Airbus A350
French Bee,Brazil,11:20,Bangkok,Business,1088.3,10883,Airbus A319
Air International,Sydney,6:40,Singapore,Business,734.9,7349,Airbus A330neo
Japan Airlines,Paris,11:30,Stockholm,Economy,578.4,11568,Boeing 737
Lufthansa,New York,2:30,Bangkok,Economy,310.8,6216,Boeing 787
Southwest Airlines,Melbourne,1:00,Kuala Lumpur,Economy,236.7,4734,McDonnell Douglas MD-11
Swiss International Air Lines,Los Angeles,8:30,Los Angeles,Economy,662.5,13250,Boeing 737 MAX
Thai Airways,Jakarta,2:30,Sao Paulo,Business,372.8,3728,Embraer E190
Airlines,Paris,8:10,Dhaka,First,1759.2,8796,Airbus A220
Air Asia,Rome,2:00,Ho Chi Minh City,Economy,410.4,8208,Bombardier CRJ
X-Express,Lisbon,2:00,Cape Town,Business,194.0,1940,Boeing 747
Air India,Lisbon,4:40,Milan,Economy,125.2,2504,Bombardier CRJ
Iberia Airlines,Vienna,9:20,Istanbul,Business,987.6,9876,Embraer E190
American Airlines,Oslo,9:40,Beijing,Economy,361.4,7228,Boeing 787-10
Virgin Atlantic,Brisbane,10:00,Bangkok,First,2634.0,13170,Boeing 777X
Korean Air,Brazil,8:10,Mumbai,Business,1051.7,10517,Boeing 757
X-Express,Nairobi,4:00,Johannesburg,Economy,684.0,13680,McDonnell Douglas MD-80
Vistara,Beijing,5:00,Israel,Economy,425.35,8507,Airbus A321
Qantas,Rome,5:00,Istanbul,Economy,225.3,4506,McDonnell Douglas MD-80
Lufthansa,Delhi,4:40,Dublin,Business,878.4,8784,ATR 72
X-Express,Delhi,8:50,Toronto,Economy,151.35,3027,Boeing 757
Etihad Airways,Madrid,5:40,Madrid,Business,247.7,2477,Airbus A320
Air International,Nairobi,1:00,Tokyo,First,2870.0,14350,Boeing 757
British Airways,Jakarta,6:40,Amsterdam,First,2897.0,14485,McDonnell Douglas MD-11
Emirates,Sao Paulo,6:00,Rome,Business,1493.4,14934,Airbus A330neo
Space Jet,Sao Paulo,11:40,Jakarta,First,1929.0,9645,Airbus A380
Iberia Airlines,Istanbul,12:20,Doha,Economy,416.7,8334,De Havilland Dash 8
SAS Scandinavian Airlines,Moscow,2:30,Miami,Economy,371.85,7437,ATR 72
Airlines,Chennai,11:50,Lyon,First,1672.8,8364,Embraer E190
Air Asia,Dublin,12:40,New York,Economy,424.5,8490,Boeing 787
United Airlines,Mumbai,2:20,Moscow,First,148.6,743,Airbus A330neo
Qantas,Kolkata,5:30,Vienna,Business,569.4,5694,Airbus A321
Star Lines,Shanghai,11:10,Lyon,First,2301.4,11507,Airbus A321
Cathay Pacific,Toronto,1:00,Dhaka,Economy,463.05,9261,De Havilland Dash 8
Lufthansa,Toronto,9:00,Johannesburg,First,2819.8,14099,Boeing 787-10
SAS Scandinavian Airlines,Hanoi,2:50,Moscow,First,2279.4,11397,McDonnell Douglas MD-80
Emirates,Berlin,8:20,Prague,Business,1175.4,11754,Airbus A320
SAS Scandinavian Airlines,Zurich,2:30,Chicago,Economy,376.3,7526,De Havilland Dash 8
LATAM Airlines,Texas,12:50,Israel,Economy,493.3,9866,Airbus A220
French Bee,Ottawa,2:30,Budapest,Business,67.6,676,Airbus A321
Cathay Pacific,Moscow,5:40,Mumbai,Economy,439.8,8796,Boeing 787-10
British Airways,Oslo,6:20,Barcelona,Economy,728.25,14565,Boeing 777X
Alaska Airlines,Beijing,9:10,Vienna,Business,667.4,6674,Boeing 737 MAX
Royal Jordanian,Texas,3:00,Madrid,Business,1391.0,13910,Boeing 777
Qatar Airways,Ho Chi Minh City,3:00,Delhi,Economy,724.4,14488,Airbus A380
Lufthansa,Ottawa,12:20,Paris,Economy,484.65,9693,Airbus A319
Asian Airlines,Beijing,3:00,Hanoi,Business,795.5,7955,Airbus A220
Vistara,Singapore,5:40,Paris,Business,168.2,1682,Boeing 737 MAX
Air India,Stockholm,7:40,Dublin,First,1429.0,7145,Boeing 737 MAX
American Airlines,Manila,2:50,Bangkok,First,1497.8,7489,Embraer E190
Qatar Airways,Athens,5:10,Brussels,Economy,115.6,2312,Boeing 757
Swiss International Air Lines,Brisbane,7:30,San Francisco,Business,983.0,9830,Boeing 787
British Airways,Manila,6:50,Geneva,Economy,437.15,8743,Airbus A319
Malaysia Airlines,Ottawa,8:30,Dubai,First,2051.2,10256,Bombardier CRJ
SAS Scandinavian Airlines,Sydney,8:00,Bangkok,First,2689.6,13448,Airbus A350
Swiss International Air Lines,Dublin,9:40,Cairo,Business,909.0,9090,ATR 72
Qatar Airways,Mexico City,2:00,Manchester,First,1468.4,7342,Boeing 737
Airlines,Athens,7:40,Tokyo,Economy,198.9,3978,Airbus A319
Etihad Airways,Singapore,10:50,Budapest,Business,1194.5,11945,Airbus A380
Star Lines,Toronto,12:10,Beijing,Business,1399.0,13990,Boeing 737
Japan Airlines,Berlin,11:50,Zurich,Economy,584.95,11699,Boeing 787-10
Air Canada,Sao Paulo,11:00,Sao Paulo,Business,110.3,1103,Boeing 737
Japan Airlines,Seoul,9:30,Jakarta,Economy,368.2,7364,McDonnell Douglas MD-80
Easy Jet,Jakarta,12:50,Johannesburg,Economy,657.55,13151,Embraer E190
Royal Jordanian,Paris,7:20,Zurich,First,1087.4,5437,Airbus A321
United Airlines,Sao Paulo,7:40,Nairobi,Economy,669.5,13390,McDonnell Douglas MD-80
Air France,Manila,3:00,St. Petersburg,First,444.6,2223,Airbus A319
Malaysia Airlines,Dubai,8:40,Dublin,First,2367.2,11836,McDonnell Douglas MD-11
Delta Airlines,Singapore,12:40,Jakarta,Business,212.0,2120,Boeing 777X
Air Asia,Barcelona,10:40,Istanbul,First,980.2,4901,Airbus A380
Turkish Airlines,Hanoi,3:30,Reykjavik,Economy,151.9,3038,Airbus A220
Indigoo,Brazil,7:30,Reykjavik,First,1067.4,5337,Boeing 747
Go First,Jakarta,8:30,Rio de Janeiro,Economy,129.85,2597,Airbus A320
Air International,Bangkok,10:00,Moscow,Economy,309.55,6191,Airbus A330
Emirates,Mumbai,5:00,Vancouver,Economy,718.3,14366,Airbus A321
Iberia Airlines,Paris,8:50,Barcelona,First,2806.8,14034,De Havilland Dash 8
Air Canada,Singapore,10:20,Vancouver,Economy,132.95,2659,McDonnell Douglas MD-11
Alaska Airlines,Oslo,8:20,Stockholm,Business,1121.1,11211,Boeing 747
Swiss International Air Lines,Manchester,4:00,Doha,Business,920.6,9206,Boeing 737
Indigoo,Seoul,6:00,Madrid,Economy,743.35,14867,Boeing 757
Cathay Pacific,Seoul,4:50,Moscow,Business,1436.8,14368,ATR 72
American Airlines,Seoul,10:00,Venice,Business,609.7,6097,McDonnell Douglas MD-80
United Airlines,Beijing,9:10,Dubai,Business,603.8,6038,Boeing 777
Alaska Airlines,Istanbul,5:10,Mexico City,First,116.2,581,Airbus A380
SAS Scandinavian Airlines,Stockholm,1:40,Hong Kong,Economy,167.7,3354,Boeing 777X
Thai Airways,Kuala Lumpur,5:00,Geneva,Business,741.4,7414,Airbus A321
Korean Air,Rome,8:40,Mexico City,First,185.2,926,Airbus A330neo
LATAM Airlines,Tokyo,12:10,Zurich,First,2806.6,14033,Boeing 777
Thai Airways,Tokyo,2:40,Dubai,Business,813.4,8134,Boeing 767
Delta Airlines,Doha,8:20,Barcelona,First,2820.2,14101,Boeing 777X
Swiss International Air Lines,Melbourne,5:50,Johannesburg,Business,1042.7,10427,Airbus A330
Iberia Airlines,Oslo,1:40,Abu Dhabi,Business,420.6,4206,Airbus A319
LATAM Airlines,Jakarta,7:40,Barcelona,First,2468.8,12344,Boeing 757
Star Lines,Brazil,11:40,Israel,Business,1089.4,10894,De Havilland Dash 8
Southwest Airlines,Delhi,12:50,Sydney,Economy,385.65,7713,McDonnell Douglas MD-11
Turkish Airlines,Zurich,3:20,Delhi,Business,747.7,7477,ATR 72
Korean Air,Delhi,2:20,Dhaka,Business,290.6,2906,Airbus A330
Lufthansa,Kolkata,1:50,Mexico City,Business,1168.5,11685,Bombardier CRJ
Emirates,Tokyo,6:40,Rio de Janeiro,Economy,392.1,7842,McDonnell Douglas MD-11
Cathay Pacific,Brazil,6:10,Chicago,First,2226.4,11132,Boeing 767
Japan Airlines,Copenhagen,7:00,Budapest,Business,1108.2,11082,De Havilland Dash 8
LATAM Airlines,Doha,12:00,Bangkok,Economy,278.5,5570,Airbus A350
Easy Jet,Dubai,6:10,Sydney,Economy,218.3,4366,ATR 72
Easy Jet,Brisbane,6:20,Tokyo,Business,985.4,9854,Boeing 757
British Airways,Abu Dhabi,4:20,Doha,Economy,646.05,12921,Boeing 787
Asian Airlines,Manila,6:20,Singapore,Business,891.6,8916,Boeing 747
Aeroflot,Abu Dhabi,12:20,San Francisco,Business,803.4,8034,Boeing 777
Turkish Airlines,Sydney,3:40,Cairo,Business,162.9,1629,Embraer E190
Air France,Zurich,5:20,Amsterdam,Economy,646.5,12930,Airbus A320
Japan Airlines,Sydney,3:50,Moscow,Economy,61.4,1228,Boeing 747
Air India,Lisbon,5:40,San Francisco,First,2755.2,13776,Bombardier CRJ
Qantas,Tokyo,9:00,Moscow,Economy,591.2,11824,Boeing 777
Southwest Airlines,Dublin,8:00,Dublin,Economy,635.65,12713,Bombardier CRJ
Virgin Atlantic,Zurich,6:10,Manila,Economy,325.15,6503,McDonnell Douglas MD-80
Japan Airlines,Manchester,4:40,Hong Kong,Business,630.9,6309,Airbus A220
Virgin Atlantic,Hanoi,1:20,Dubai,Business,439.5,4395,Boeing 757
United Airlines,Shanghai,4:30,Madrid,Business,662.2,6622,Boeing 767
Lufthansa,Chicago,8:10,Ho Chi Minh City,Business,1042.4,10424,Boeing 777
Air India,Edinburgh,12:20,Istanbul,Economy,301.3,6026,Airbus A380
Swiss International Air Lines,Toronto,9:30,Sydney,Business,1092.5,10925,Airbus A350
Iberia Airlines,Ho Chi Minh City,5:30,New York,Business,101.5,1015,Airbus A380
Swiss International Air Lines,Brazil,4:30,Dublin,Economy,646.75,12935,McDonnell Douglas MD-80
Delta Airlines,Kuala Lumpur,8:40,Vienna,Economy,281.25,5625,Boeing 777X
X-Express,Singapore,7:50,Amsterdam,First,1076.8,5384,Boeing 767
SAS Scandinavian Airlines,Athens,1:40,Moscow,Business,261.9,2619,Boeing 767
Royal Jordanian,Delhi,2:40,Brussels,Economy,226.3,4526,Boeing 737
X-Express,Dublin,3:40,Bangkok,Economy,699.6,13992,Boeing 737
Vistara,Paris,6:30,Brussels,Economy,172.85,3457,Boeing 767
Vistara,Hong Kong,12:50,Munich,Economy,699.0,13980,Airbus A220
Iberia Airlines,New York,5:10,Stockholm,Business,73.3,733,McDonnell Douglas MD-11
French Bee,Sydney,2:00,San Francisco,Economy,303.3,6066,ATR 72
Air International,Hong Kong,6:30,Dublin,Economy,569.45,11389,Airbus A220
Japan Airlines,Cairo,9:10,Oslo,Business,672.6,6726,Airbus A321
Air Asia,Manchester,4:40,Venice,First,1590.2,7951,Boeing 737 MAX
Cathay Pacific,Toronto,12:40,Paris,Business,1297.8,12978,Boeing 787-10
Lufthansa,Cairo,5:00,Barcelona,First,1565.0,7825,De Havilland Dash 8
Lufthansa,Istanbul,8:10,Beijing,Economy,289.25,5785,De Havilland Dash 8
SAS Scandinavian Airlines,Singapore,8:20,Madrid,First,1650.0,8250,Airbus A380
Cathay Pacific,Amsterdam,4:10,Toronto,Business,317.3,3173,Bombardier CRJ
French Bee,Johannesburg,7:20,Ho Chi Minh City,First,751.2,3756,Boeing 737 MAX
LATAM Airlines,Los Angeles,7:20,Cairo,Business,1007.9,10079,Airbus A350
SAS Scandinavian Airlines,Nairobi,6:40,Prague,Business,1255.9,12559,Boeing 777X
Malaysia Airlines,Moscow,3:40,Hong Kong,Economy,284.1,5682,McDonnell Douglas MD-80
Go First,Nairobi,9:20,Zurich,Business,1119.5,11195,Embraer E190
Japan Airlines,Brisbane,5:10,Lyon,First,2344.2,11721,Airbus A319
Emirates,Sao Paulo,8:40,Paris,First,2286.6,11433,Airbus A380
LATAM Airlines,Stockholm,7:10,Los Angeles,First,506.4,2532,Boeing 757
Qatar Airways,Johannesburg,11:00,Hong Kong,Business,1302.3,13023,Airbus A380
Asian Airlines,Seoul,8:30,Ho Chi Minh City,Business,1001.6,10016,Boeing 767
Delta Airlines,Tokyo,12:10,Paris,First,2136.8,10684,Airbus A320
Gulf Air,Abu Dhabi,6:20,Dublin,Business,50.4,504,Boeing 757
Southwest Airlines,New York,2:00,Oslo,Business,1288.4,12884,Boeing 767
Etihad Airways,Hanoi,8:50,Nairobi,Business,339.9,3399,McDonnell Douglas MD-11
Singapore Airlines,Istanbul,10:50,Kuala Lumpur,First,2258.6,11293,McDonnell Douglas MD-80
Swiss International Air Lines,Ottawa,4:20,Munich,Economy,430.5,8610,Boeing 747
Star Lines,Toronto,5:00,Sao Paulo,First,2590.2,12951,Boeing 777
Southwest Airlines,Seoul,9:50,Warsaw,Business,753.4,7534,ATR 72
Korean Air,Chicago,9:30,Beijing,Economy,678.25,13565,Airbus A320
Qantas,Edinburgh,7:40,Stockholm,Business,690.5,6905,Boeing 787-10
Alaska Airlines,Paris,1:50,Nairobi,Economy,29.3,586,Bombardier CRJ
Royal Jordanian,Jakarta,6:10,Zurich,Economy,666.4,13328,Airbus A350
Singapore Airlines,Ho Chi Minh City,2:20,New York,Business,910.6,9106,Airbus A321
Emirates,Doha,12:20,Prague,Economy,677.6,13552,Boeing 737 MAX
Airlines,Los Angeles,3:30,Athens,First,2866.4,14332,Airbus A220
Air Asia,Stockholm,8:00,Milan,First,834.8,4174,Boeing 767
Japan Airlines,Shanghai,12:30,Manila,First,2626.0,13130,Boeing 767
Emirates,Dubai,7:20,Doha,Economy,433.75,8675,McDonnell Douglas MD-11
Star Lines,Chicago,4:30,Chicago,Economy,150.5,3010,Boeing 767
Southwest Airlines,Hanoi,12:20,Sydney,Economy,562.4,11248,Airbus A319
Air France,Brazil,4:50,Rome,First,2302.2,11511,Airbus A320
Delta Airlines,Chicago,8:50,Manchester,Business,1457.8,14578,Boeing 747
Korean Air,Mexico City,1:30,Delhi,Business,178.2,1782,Airbus A220
Go First,Chennai,12:10,Buenos Aires,Economy,237.65,4753,De Havilland Dash 8
United Airlines,Stockholm,2:50,Budapest,Economy,635.1,12702,Airbus A220
American Airlines,Jakarta,9:30,Reykjavik,Business,763.8,7638,Boeing 777X
Cathay Pacific,Dubai,11:30,Istanbul,Business,1236.7,12367,McDonnell Douglas MD-80
Swiss International Air Lines,Sydney,3:00,Los Angeles,Economy,201.65,4033,Bombardier CRJ
Indigoo,Brazil,10:50,Vancouver,Business,1365.9,13659,Airbus A350
Royal Jordanian,Vienna,9:00,Zurich,First,1274.8,6374,Boeing 757
Etihad Airways,Amsterdam,2:30,Venice,Business,1177.7,11777,McDonnell Douglas MD-11
Easy Jet,Sydney,10:00,Helsinki,First,1622.4,8112,Boeing 777X
