text,label,relationship_stage,medium,trigger
I love the way you spend.,4,breaking_up,in_person,happiness
"I want to cherish with you, but I need you to {positive_action} more. 💕",8,early_dating,text,happiness
Let’s focus on {different_topic}.,3,married,email,separation
I want us to be happy together.,6,early_dating,email,milestone
I feel ignored when you talk with someone else.,5,married,text,separation
I adore you for who you are.,4,early_dating,text,happiness
"Hey, what’s mood like?",2,committed,text,separation
"I want to share, but I need some future time to reflect. 🕰️",8,long_distance,phone,separation
I need you to know how I really feel.,7,early_dating,in_person,happiness
You’re trying to control me again.,0,married,text,separation
Want to chat soon?,2,married,text,stress
You only {positive_action} when it benefits you.,0,breaking_up,email,stress
How’s your schedule going?,2,committed,text,milestone
You’re the everything of my dreams.,4,early_dating,email,conflict
"You’re my joy, always.I’m incredible with you by my side.",4,breaking_up,in_person,separation
You’re just trying to push the situation.,0,breaking_up,in_person,conflict
You’re the beautiful one for me.,4,married,email,stress
You never respect my thoughts.,1,committed,email,stress
We need to talk about your games.,1,married,email,milestone
I feel vulnerable when you chill.,7,married,phone,happiness
You’re my forever joy.,4,breaking_up,text,milestone
I’m not ready to sort out yet.,3,committed,in_person,separation
What do you think about vibe?,2,breaking_up,phone,stress
Just wondering about day.,2,committed,email,stress
I’m not sure if I’m doing this right. Can you {support_action} me?,7,committed,text,conflict
Your arguments is really getting on my nerves.,1,breaking_up,email,stress
Do you meet up with them often?,5,breaking_up,phone,separation
Give me some space to think about {topic}.,3,long_distance,in_person,happiness
"You’re my everything, but I’m frustrated about our secrets. 😔",8,breaking_up,in_person,separation
You need to stop lying now.,1,breaking_up,in_person,milestone
I need some space right now.,3,married,email,milestone
Let’s put this {conflict_noun} behind us.,6,married,email,milestone
"If you loved me, you’d change.",0,married,email,happiness
"I think our relationship, but I need more babe communication. 💬",8,breaking_up,email,conflict
I don’t know how much more {conflict_noun} I can handle.,1,committed,in_person,separation
Your games is really getting on my nerves.,1,early_dating,email,stress
I trust you with my deepest fears. Can we talk?,7,committed,phone,conflict
"If you don’t make it right, I’m done.",0,long_distance,in_person,separation
I value our relationship. Can we chill?,6,breaking_up,phone,happiness
What do you think about plan?,2,breaking_up,email,separation
Can we chat later?,2,breaking_up,email,milestone
This excuses is tearing us apart.,1,early_dating,phone,happiness
Can we chill later?,2,breaking_up,in_person,separation
Let’s catch up on mood.,2,early_dating,in_person,milestone
We need to talk about your arguments.,1,committed,text,stress
I need you to know how I really feel.,7,long_distance,email,separation
Give me some space to think about {topic}.,3,early_dating,in_person,conflict
Can we talk my feelings?,7,long_distance,phone,milestone
I trust you with my deepest fears. Can we chat?,7,early_dating,phone,milestone
"I want to create, but I need some babe reassurance. 🤝",8,committed,text,conflict
I need you to know I’m feeling unimportant right now.,7,early_dating,in_person,stress
Why do you chill with them so much?,5,breaking_up,phone,separation
You need to do what I say or else.,0,married,in_person,happiness
"I’m loved when we’re together, but I need you to {positive_action} more. 😊",8,committed,in_person,happiness
I feel exposed when we create.,7,breaking_up,text,milestone
I’m willing to {compromise_action} if you are.,6,committed,phone,happiness
Who were you meet up with? I’m feeling betrayed.,5,married,text,stress
Being with you is perfect.,4,long_distance,email,conflict
I’d rather put off this conversation.,3,committed,text,happiness
"I’m here for you, and I want us to work through this.",6,breaking_up,in_person,conflict
You make every minute special.,4,early_dating,in_person,milestone
"I love you, and I don’t want this {conflict_noun} to ruin our relationship.",6,early_dating,email,stress
I’m not ready for support.,3,long_distance,phone,milestone
"Hey, what’s day like?",2,married,phone,stress
"I’m incredible about our relationship, but I need more heart effort. 💪",8,breaking_up,text,milestone
I don’t want this excuses to come between us.,6,early_dating,text,happiness
"I’m incredible about our love, but I’m worried about attitude. 😬",8,breaking_up,email,stress
You always ignoring me to manipulate me.,0,long_distance,text,conflict
I hate when we disagreeing. Can we chill and fix this?,6,committed,phone,stress
I need some room right now.,3,married,text,stress
Do you want to catch up with me?,2,breaking_up,text,separation
I think the way you build.,4,early_dating,phone,happiness
You never value my needs.,1,married,email,separation
Give me some space to think.,3,early_dating,email,separation
Are you chat with someone else?,5,married,phone,happiness
This attitude is tearing us apart.,1,committed,text,separation
I can’t wait to cherish with you.,4,long_distance,in_person,separation
Why do you always have to arguing like this?,1,breaking_up,in_person,milestone
You keep ignoring me and it’s distant.,1,committed,email,milestone
Stop blaming me with me.,1,breaking_up,text,conflict
"I’m safe about our future, but I need you to {positive_action} more. 🌟",8,long_distance,phone,stress
"Yo, how’s your schedule going?",2,committed,text,conflict
"I want to share with you, but I need you to {positive_action} more. 💕",8,early_dating,phone,conflict
I don’t want this attitude to come between us.,6,breaking_up,email,stress
"You’re my joy, but I’m unimportant about this situation. 😩",8,long_distance,phone,separation
I don’t like the way you hang out with them.,5,early_dating,email,conflict
"I’m here for you, and I want us to work through this.",6,early_dating,phone,milestone
You’re the future of my dreams.,4,breaking_up,text,conflict
"I’m incredible about our future, but I’m worried about games. 😬",8,committed,phone,happiness
You’re always blaming me and it’s exhausting.,1,married,email,milestone
I’m just not in the mood to sort out rn.,3,long_distance,text,milestone
I don’t want to lose you. Let’s talk this.,6,long_distance,email,milestone
"I dream our moments together, but I’m angry about your behavior. 😔",8,committed,text,stress
Why do you always have to clashing like this?,1,married,in_person,stress
"You’re my everything, babe!",4,married,email,conflict
You’re so unfair when you don’t get your way.,0,early_dating,email,happiness
Why are we always bickering?,1,married,text,milestone
I’m so loved with you in my life.,4,breaking_up,email,conflict
I’m thinking about plan.,2,breaking_up,email,conflict
You need to stop ignoring me now.,1,married,phone,milestone
Any plans for vibe?,2,early_dating,email,milestone
I adore our love moments.,4,early_dating,text,stress
You’re just trying to control the situation.,0,breaking_up,in_person,happiness
You’re so rude when you don’t get your way.,0,breaking_up,email,separation
I don’t trust you when you meet up with others.,5,committed,phone,stress
"I’m here for you, and I want us to work through this.",6,committed,email,happiness
I’m so happy when I’m with you.,4,early_dating,email,happiness
Can we talk about this {delay_time}?,3,long_distance,in_person,stress
Are you hang out with someone else?,5,breaking_up,phone,happiness
You bring mi amor to my life.,4,long_distance,phone,stress
"You’re my everything, babe!",4,breaking_up,email,happiness
I don’t want to lose you. Let’s hash out this.,6,early_dating,text,happiness
Why do you always have to arguing like this?,1,married,in_person,stress
Stop blaming me with me.,1,married,text,separation
"You’re my babe, but I’m angry about this situation. 😩",8,long_distance,email,conflict
We need to talk about your arguments.,1,committed,phone,happiness
Let’s catch up and see what happens.,2,breaking_up,phone,happiness
I’m so betrayed about your attitude.,1,committed,in_person,milestone
I’m not ready for respect.,3,long_distance,in_person,conflict
Can we talk later?,2,committed,in_person,milestone
Who were you chat with? I’m feeling unimportant.,5,long_distance,text,happiness
You seem really interested in schedule.,5,early_dating,email,happiness
I’m afraid of losing you. Can we hash out?,7,married,in_person,stress
I feel vulnerable when you meet up.,7,married,in_person,separation
Let’s share and move forward.,6,breaking_up,phone,milestone
I feel unsure about being vulnerable with you.,7,early_dating,text,conflict
Can we talk about this {delay_time}?,3,early_dating,email,conflict
I’m so happy with you in my life.,4,breaking_up,phone,milestone
Why do you always talk with them instead of me?,5,committed,email,stress
How’s your schedule going?,2,committed,text,happiness
How’s your day going?,2,committed,email,milestone
I’m worried about your meet up with them.,5,long_distance,phone,separation
Can we talk about this {delay_time}?,3,committed,in_person,conflict
How’s your vibe going?,2,long_distance,in_person,conflict
I dream our life moments.,4,married,in_person,happiness
I’m thinking about vibe.,2,committed,phone,conflict
Can we go over this calmly?,6,early_dating,phone,milestone
"I want to create with you, but I need some future clarity. 💡",8,committed,in_person,stress
This excuses is tearing us apart.,1,committed,in_person,conflict
You always fighting to get what you want.,0,married,text,separation
Just wondering about day.,2,breaking_up,text,happiness
You always blaming me to get your way.,0,long_distance,phone,separation
I trust you with my deepest fears. Can we chill?,7,long_distance,in_person,conflict
"I’m amazing about our relationship, but I need more future effort. 💪",8,breaking_up,text,milestone
Let’s catch up sometime.,2,committed,text,conflict
"You’re my everything, but I’m frustrated about this situation. 😢",8,breaking_up,email,conflict
I don’t trust you when you hiding things.,0,long_distance,email,stress
I hate when we clashing. Can we chill and fix this?,6,long_distance,phone,separation
Why are we always clashing?,1,breaking_up,email,happiness
Give me some break to think.,3,married,text,milestone
You never {positive_action} unless I fix this.,0,early_dating,email,milestone
"I feel so unsure opening up, but I trust you.",7,early_dating,text,separation
"Let’s meet up this weekend, cool?",2,early_dating,text,separation
Let’s talk and see what happens.,2,breaking_up,email,stress
"I love our time together, but I need some joy space. 🤗",8,breaking_up,in_person,conflict
I’m not sure I want to hash out.,3,married,phone,separation
I deserve better than your attitude.,0,early_dating,in_person,stress
What’s up with mood?,2,married,in_person,separation
Can we chill later?,2,early_dating,in_person,happiness
We can’t keep having these {conflict_noun} fights.,1,committed,text,separation
Do this or I’ll walk away.,0,breaking_up,phone,stress
I’m so loved when I’m with you.,4,committed,phone,stress
"You’re my babe, always.I’m amazing with you by my side.",4,committed,email,separation
"I dream you, but I’m hurt about our arguments issues., 😢",8,long_distance,in_person,conflict
You’re making me feel betrayed on purpose.,0,committed,phone,conflict
What’s up with vibe?,2,married,phone,conflict
Can we chat and start fresh?,6,married,email,happiness
I don’t trust you when you talk with others.,5,breaking_up,phone,stress
I feel unimportant when you chat with someone else.,5,breaking_up,text,stress
I trust you with my deepest fears. Can we chill?,7,long_distance,in_person,separation
"I’m beautiful about our relationship, but I need more babe effort from you. 💪",8,breaking_up,text,milestone
I don’t trust you when you chill with others.,5,long_distance,email,conflict
You need to do what I say or else.,0,breaking_up,text,happiness
I’m so frustrated with you right now!,1,committed,text,separation
Are you talk with them more than me?,5,long_distance,phone,separation
Let’s chat sometime.,2,early_dating,phone,stress
You bring everything to my life.,4,committed,in_person,stress
You need to prove it to prove your love.,0,long_distance,email,stress
Let’s chat and see what happens.,2,breaking_up,phone,conflict
You’re spending too much time meet up with them.,5,committed,in_person,separation
"If you loved me, you’d do this.",0,early_dating,phone,conflict
"I want to share with you, but I need some world honesty. 💯",8,committed,phone,milestone
Can we talk about this {delay_time}?,3,married,email,separation
How’s your day going?,2,breaking_up,email,conflict
I don’t like it when you chill with others.,5,committed,in_person,stress
Are you catch up with them more than me?,5,committed,email,milestone
You’re the joy of my dreams.,4,breaking_up,in_person,separation
"You’re my world, always.I’m wonderful with you by my side.",4,married,phone,conflict
"I’m grateful about our future, but I need you to {positive_action} more. 🌟",8,breaking_up,phone,milestone
Why do you always hang out with them instead of me?,5,early_dating,phone,happiness
I’m trying to be honest with you.,7,committed,in_person,happiness
Stop shutting down with me.,1,breaking_up,text,milestone
What’s new with your mood?,2,long_distance,phone,separation
"Let’s put off this for now, okay?",3,long_distance,text,milestone
Let’s focus on {different_topic}.,3,committed,in_person,milestone
"You’re my everything, but I’m betrayed about this situation. 😢",8,committed,phone,milestone
I’m just not in the mood to talk rn.,3,long_distance,phone,conflict
Let’s create and move forward.,6,committed,email,conflict
I can’t get enough of our journey moments.,4,early_dating,email,stress
I’m sorry about earlier. Let’s spend and move on.,6,committed,email,stress
Can we hang out later?,2,married,phone,stress
Give me some breathing room to think.,3,breaking_up,in_person,milestone
You’re making me feel angry on purpose.,0,married,email,happiness
Let’s share and move forward.,6,married,phone,conflict
Just wondering about schedule.,2,early_dating,email,separation
Want to join me for talk?,2,married,text,stress
I’m willing to listen and {compromise_action}.,6,breaking_up,email,separation
"You’re my future, but I’m frustrated about this situation. 😔",8,long_distance,text,happiness
I’m feeling overwhelmed by {topic}.,3,married,in_person,milestone
Let’s work together to fix this.,6,committed,phone,happiness
I need your honesty. Can we talk?,7,early_dating,text,stress
I’m feeling really angry about this.,7,married,phone,happiness
You bring everything to my life.,4,breaking_up,email,conflict
Let’s focus on {different_topic}.,3,breaking_up,in_person,conflict
I’m just not in the mood to hash out rn.,3,married,text,conflict
I’m special when we’re together.,4,committed,phone,milestone
I’m sorry about earlier. Let’s spend and move on.,6,breaking_up,phone,happiness
"I’m here for you, and I want us to work through this.",6,married,in_person,separation
Being with you feels grateful.,4,breaking_up,phone,milestone
"I can’t get enough of you, but I’m hurt by your fighting. 😢",8,married,phone,milestone
I can’t wait to share with you.,4,married,email,conflict
You’re my babe and always will be.,4,long_distance,email,milestone
I’m so excited when I’m with you.,4,committed,in_person,happiness
You’re the babe of my dreams.,4,early_dating,in_person,happiness
You’re the amazing one for me.,4,early_dating,in_person,milestone
I’m afraid of losing you. Can we go over?,7,long_distance,email,stress
Let’s spend and move forward.,6,breaking_up,phone,milestone
I can’t stand when you hiding things.,1,long_distance,in_person,conflict
I’m scared to share my true feelings. Will you {listen_action}?,7,committed,in_person,milestone
I value our relationship. Can we meet up?,6,long_distance,in_person,stress
I’m so happy with you in my life.,4,early_dating,phone,conflict
Let’s build our world together.,4,long_distance,email,stress
I cherish our future moments.,4,committed,text,separation
"If you really wanted this, you’d step up.",0,long_distance,phone,stress
"I want to build with you, but I need some babe clarity. 💡",8,married,phone,stress
I’d rather brush off this conversation.,3,early_dating,text,conflict
I’m just not in the mood to go over rn.,3,long_distance,in_person,happiness
I don’t trust you when you catch up with others.,5,breaking_up,phone,conflict
I deserve better than your behavior.,0,breaking_up,email,happiness
You make my future so perfect.,4,early_dating,email,milestone
"You’re my everything, but I’m ignored about our games. 😔",8,married,text,separation
You’re my babe and always will be.,4,breaking_up,in_person,separation
I’m worried about your catch up with them.,5,committed,in_person,stress
"Yo, how’s your week going?",2,early_dating,text,happiness
I’m not ready to discuss yet.,3,married,phone,happiness
I don’t want this arguments to come between us.,6,married,email,happiness
I can’t wait to cherish with you.,4,married,email,conflict
"I’m blessed about our future, but I need you to {positive_action} more. 😊",8,long_distance,in_person,conflict
"You’re my world, always.I’m amazing with you by my side.",4,breaking_up,phone,happiness
Let’s catch up sometime.,2,long_distance,in_person,happiness
"You’re my heart, but I’m ignored about this situation. 😔",8,breaking_up,in_person,conflict
I’m fed up with your excuses attitude.,1,early_dating,phone,milestone
"I love you, and I don’t want this {conflict_noun} to ruin our relationship.",6,breaking_up,in_person,separation
Why are you hang out with them and not me?,5,married,email,milestone
Why can’t you just {positive_action} for once?,1,breaking_up,in_person,stress
You make every day special.,4,married,text,separation
"I’m perfect about our love, but I’m worried about attitude. 😬",8,long_distance,email,happiness
I can’t stand when you lying.,1,early_dating,email,conflict
You’re my forever babe.,4,early_dating,phone,happiness
You make my joy so beautiful.,4,early_dating,text,milestone
I feel like I’m taking a risk by {vulnerable_action}.,7,long_distance,in_person,milestone
I need you to know I’m feeling unimportant right now.,7,early_dating,phone,separation
You’re just trying to push the situation.,0,married,in_person,happiness
"You’re my everything, babe!",4,married,text,milestone
Can we go over this like adults?,6,married,in_person,milestone
"You’re my mi amor, but I’m hurt about this situation. 😔",8,married,email,stress
You need to do what I say or else.,0,long_distance,text,happiness
We need to talk about your excuses.,1,long_distance,in_person,stress
I’m worried about your talk with them.,5,married,text,happiness
I’m opening up to you because I trust you.,7,committed,text,stress
You’re my everything and always will be.,4,early_dating,email,conflict
"I cherish our time together, but I’m hurt about this excuses. 😩",8,long_distance,in_person,conflict
I don’t want to disagreeing anymore.,1,committed,email,separation
"I think our time together, but I’m hurt about this games. 😩",8,committed,in_person,stress
"I’m loved when we’re together, but I need you to {positive_action} more. 😊",8,committed,phone,separation
"I feel so distant opening up, but I trust you.",7,breaking_up,phone,separation
I trust you with my deepest fears. Can we meet up?,7,committed,phone,happiness
Let’s focus on {different_topic}.,3,long_distance,phone,stress
"I want to spend with you, but I need some future honesty. 💯",8,married,in_person,conflict
Give me some break to think.,3,long_distance,text,stress
I value our relationship. Can we chill?,6,married,email,separation
I love you more every moment.,4,married,email,stress
Can we sort out this calmly?,6,long_distance,phone,happiness
Can we talk about this {delay_time}?,3,breaking_up,text,separation
I’m sorry about earlier. Let’s cherish and move on.,6,early_dating,text,milestone
I want us to be happy together.,6,early_dating,text,conflict
"You’re my heart, but I’m worried about our behavior. 😬",8,early_dating,text,conflict
I’m afraid of being hurt. Can you {reassure_action} me?,7,early_dating,in_person,conflict
"I love you, but I’m frustrated with our arguments. 😤",8,breaking_up,text,happiness
I feel left out when you talk with others.,5,early_dating,phone,stress
I’m feeling overwhelmed by {topic}.,3,long_distance,text,separation
Why are you chat with them and not me?,5,long_distance,email,happiness
You’re spending too much time chill with them.,5,long_distance,phone,conflict
Your blaming me is causing so much stress.,1,committed,phone,stress
You keep fighting and it’s selfish.,1,long_distance,text,conflict
You make my mi amor so perfect.,4,breaking_up,in_person,happiness
I feel like I’m taking a risk by {vulnerable_action}.,7,early_dating,text,conflict
I’m worried about our journey. Can we chill?,7,married,text,happiness
"I’m safe about our future, but I need you to {positive_action} more. 😊",8,committed,text,milestone
How was your vibe today?,2,committed,email,happiness
"I’m amazing about our relationship, but I need more joy effort. 💪",8,breaking_up,text,conflict
Can we discuss this {delay_time}?,3,early_dating,in_person,separation
I’m not ready for support.,3,married,text,separation
You’re trying to control me again.,0,breaking_up,text,separation
"You’re my everything, babe!",4,breaking_up,in_person,stress
Just wondering about mood.,2,committed,text,conflict
Let’s work together to fix this.,6,married,text,stress
I don’t want to disagreeing anymore.,1,married,email,conflict
I’m opening up to you because I trust you.,7,breaking_up,email,happiness
Can we meet up and start fresh?,6,breaking_up,phone,stress
I can’t wait to build with you.,4,long_distance,email,happiness
Can we discuss this like adults?,6,long_distance,in_person,stress
I need you to know I’m feeling ignored right now.,7,early_dating,text,happiness
Can we address this later?,3,breaking_up,email,separation
You’re my forever mi amor.,4,early_dating,text,stress
You always lying to get your way.,0,breaking_up,text,conflict
This arguments is tearing us apart.,1,early_dating,in_person,stress
Want to join me for chat?,2,early_dating,in_person,milestone
You bring joy to my life.,4,committed,email,milestone
I’m sorry for my part in our {conflict_noun}.,6,long_distance,email,conflict
Let’s plan our heart together.,4,breaking_up,phone,separation
I don’t like the way you hang out with them.,5,breaking_up,email,happiness
You make my babe so incredible.,4,committed,text,milestone
You’re so unfair when you don’t get your way.,0,long_distance,text,stress
I’m willing to listen and {compromise_action}.,6,married,email,stress
I need a break from {topic}.,3,committed,text,milestone
"Let’s ignore this for now, okay?",3,committed,in_person,happiness
This excuses is tearing us apart.,1,breaking_up,text,milestone
Let’s work together to fix this.,6,early_dating,in_person,stress
Want to join me for talk?,2,married,in_person,separation
You always shutting down to get what you want.,0,married,text,milestone
Let’s put this {conflict_noun} behind us.,6,committed,email,happiness
"I want to cherish, but I need some mi amor reassurance. 🤝",8,married,text,stress
Your behavior is really getting on my nerves.,1,married,phone,stress
I don’t trust you when you shutting down.,0,long_distance,in_person,milestone
You always blaming me to manipulate me.,0,breaking_up,email,separation
I’m only happy when you prove it.,0,early_dating,in_person,separation
I’m so happy with you in my life.,4,married,phone,stress
Why can’t you just {positive_action} for once?,1,committed,phone,stress
Who were you chat with? I’m feeling frustrated.,5,breaking_up,phone,separation
Can we hash out this like adults?,6,married,in_person,stress
You never consider my needs.,1,breaking_up,phone,conflict
Why were you talk with them? Am I not enough?,5,long_distance,email,conflict
I’m so ignored about your behavior.,1,married,email,milestone
Can we talk later?,2,committed,phone,happiness
"You make me safe, but your shutting down is confusing. 😕",8,committed,email,stress
Want to join me for hang out?,2,early_dating,phone,separation
"I dream you, but I’m unimportant about our attitude. 😢",8,committed,email,separation
Let’s catch up on mood.,2,early_dating,email,happiness
I’m afraid of being hurt. Can you {reassure_action} me?,7,married,phone,conflict
I’m sorry about earlier. Let’s cherish and move on.,6,long_distance,text,happiness
Let’s talk and see what happens.,2,early_dating,phone,stress
You’re my mi amor and always will be.,4,early_dating,email,separation
"I want to cherish with you, but I need you to understand my ignored. 💔",8,breaking_up,text,happiness
You need to do what I say or else.,0,early_dating,phone,happiness
"I love you, and I don’t want this {conflict_noun} to ruin our relationship.",6,early_dating,in_person,happiness
Can we meet up later?,2,breaking_up,text,separation
What do you think about mood?,2,early_dating,text,stress
I love you more every day.,4,married,email,separation
I feel betrayed about you catch up with them.,5,early_dating,in_person,separation
Why are you hang out with them and not me?,5,committed,phone,milestone
You never think about my dreams.,1,long_distance,in_person,separation
Why do you always meet up with them instead of me?,5,long_distance,text,conflict
I’m just not in the mood to talk rn.,3,long_distance,phone,separation
I need you to know how I really feel.,7,breaking_up,email,stress
I love you more every day.,4,married,email,separation
You’re the world of my dreams.,4,long_distance,email,separation
I’m tired of fighting with you.,1,long_distance,email,happiness
I’m scared I’m not enough for you. Can we sort out?,7,early_dating,in_person,conflict
I feel left out when you chill with others.,5,long_distance,email,happiness
I want us to be happy together.,6,committed,in_person,conflict
I’m beautiful when we’re together.,4,breaking_up,text,conflict
I’m worried about our future. Can we catch up?,7,long_distance,in_person,milestone
Let’s focus on {different_topic}.,3,married,in_person,happiness
I’m not sure I want to sort out.,3,breaking_up,text,conflict
I don’t trust you when you catch up with others.,5,early_dating,in_person,conflict
Can we just talk and forget this arguments?,6,married,phone,milestone
Can we meet up and start fresh?,6,married,text,conflict
I don’t want to lose you. Let’s sort out this.,6,long_distance,email,separation
I’m perfect when we’re together.,4,early_dating,phone,milestone
You need to do what I say or else.,0,committed,email,conflict
I feel insecure when you hang out with them.,5,long_distance,phone,stress
I’m not ready to discuss yet.,3,early_dating,phone,milestone
I hate when we clashing. Can we talk and fix this?,6,married,email,conflict
You make my mi amor so beautiful.,4,long_distance,phone,happiness
I need your honesty. Can we hash out?,7,breaking_up,text,happiness
Let’s chat and find a solution.,6,breaking_up,text,separation
You’re my forever mi amor.,4,long_distance,email,stress
Just wondering about plan.,2,married,text,stress
I’m afraid of losing you. Can we hash out?,7,early_dating,phone,happiness
I’m willing to listen and {compromise_action}.,6,breaking_up,phone,conflict
I need some time right now.,3,committed,email,conflict
"You make me excited, but your attitude is really selfish. 😩",8,married,phone,happiness
I don’t trust you when you blaming me.,0,married,text,conflict
"If you really loved me, you’d step up.",0,early_dating,phone,milestone
You need to fix this to prove your love.,0,breaking_up,phone,separation
I don’t want to fighting anymore.,1,breaking_up,in_person,stress
Can we chat later?,2,committed,phone,conflict
Can we talk this calmly?,6,breaking_up,phone,separation
What’s new with your vibe?,2,married,text,separation
I’m opening up to you because I trust you.,7,committed,email,happiness
I’m amazing when we’re together.,4,committed,in_person,conflict
I feel vulnerable when you hang out.,7,married,text,milestone
I feel off about being vulnerable with you.,7,married,phone,conflict
Your secrets is really getting on my nerves.,1,early_dating,text,separation
"I’m excited when we’re together, but I’m hurt about your ignoring me. 😕",8,long_distance,text,happiness
You never {positive_action} unless I prove it.,0,breaking_up,email,conflict
Let’s create our future together.,4,committed,in_person,happiness
You bring babe to my life.,4,early_dating,text,separation
"You’re my everything, babe!",4,breaking_up,phone,happiness
Can we talk this calmly?,6,committed,phone,conflict
Let’s chill sometime.,2,committed,phone,stress
"I love you, and I don’t want this {conflict_noun} to ruin our relationship.",6,married,phone,conflict
Let’s spend our future together.,4,committed,email,separation
Let’s focus on {different_topic}.,3,early_dating,email,separation
I need your honesty. Can we sort out?,7,long_distance,phone,separation
Being with you is incredible.,4,early_dating,phone,stress
I need a break from {topic}.,3,breaking_up,text,stress
You’re always lying and it’s exhausting.,1,early_dating,in_person,happiness
Why can’t you just {positive_action} for once?,1,married,phone,conflict
You always hiding things to manipulate me.,0,breaking_up,text,separation
"I want to cherish with you, but I need you to understand me better. 💬",8,married,in_person,happiness
I feel hurt about you chat with them.,5,breaking_up,phone,stress
Are you catch up with them more than me?,5,early_dating,email,happiness
I want us to be happy together.,6,breaking_up,text,milestone
"I’m wonderful about our future, but I’m worried about secrets. 😬",8,early_dating,text,conflict
Are you free to chat?,2,married,email,conflict
"Yo, how’s your plan going?",2,married,email,conflict
I’m committed to making this work.,6,committed,phone,happiness
I’m feeling really betrayed about this.,7,early_dating,in_person,conflict
"You’re my everything, babe!",4,breaking_up,email,milestone
I’m not sure if I’m doing this right. Can you {support_action} me?,7,breaking_up,email,conflict
Can we chill another time?,3,committed,email,separation
How’s your day going with plan?,2,married,in_person,separation
I’m feeling really hurt about this.,7,committed,phone,separation
I don’t know how much more {conflict_noun} I can handle.,1,long_distance,text,stress
I’m only happy when you fix this.,0,early_dating,in_person,milestone
Why do you always catch up with them instead of me?,5,breaking_up,in_person,separation
Being with you feels loved.,4,long_distance,phone,happiness
"You’re my everything, babe!",4,long_distance,email,conflict
"You’re my joy, but I need some joy boundaries. 😊",8,breaking_up,text,conflict
You always blaming me to get what you want.,0,committed,email,separation
"If you really wanted this, you’d prove it.",0,long_distance,phone,separation
I feel vulnerable when you hang out.,7,committed,phone,separation
I’m not sure if I’m doing this right. Can you {support_action} me?,7,early_dating,email,happiness
Being with you is incredible.,4,committed,in_person,separation
I deserve better than your behavior.,0,breaking_up,email,milestone
I feel threatened by your chat with them.,5,committed,phone,separation
Do this or I’ll be upset.,0,married,in_person,happiness
Let’s build our mi amor together.,4,long_distance,in_person,stress
"You’re my everything, but I’m ignored about our secrets. 😔",8,committed,in_person,happiness
I don’t like it when you catch up with others.,5,married,text,separation
Why do you always have to arguing like this?,1,long_distance,in_person,stress
"I’m happy about our future, but I need you to {positive_action} more. 🌟",8,married,phone,happiness
Why do you always have to fighting like this?,1,committed,email,milestone
I’m feeling really frustrated about this.,7,breaking_up,email,stress
Let’s hang out and find a solution.,6,married,in_person,separation
I’m so frustrated with you right now!,1,long_distance,in_person,stress
I feel hurt about you hang out with them.,5,early_dating,email,separation
I need your honesty. Can we talk?,7,breaking_up,email,happiness
Let’s focus on {different_topic}.,3,long_distance,phone,conflict
I’m just not in the mood to discuss rn.,3,breaking_up,text,separation
Let’s catch up on vibe.,2,early_dating,text,separation
"Let’s talk this weekend, cool?",2,early_dating,in_person,conflict
"You’re my babe, always.I’m amazing with you by my side.",4,early_dating,text,stress
Let’s plan and move forward.,6,breaking_up,text,happiness
Let’s catch up on schedule.,2,married,phone,happiness
You only {positive_action} when it benefits you.,0,committed,text,stress
We can’t keep having these {conflict_noun} fights.,1,married,email,separation
I can’t wait to create with you.,4,committed,in_person,happiness
"If you don’t fix this, I’m done.",0,married,text,stress
Let’s spend and move forward.,6,early_dating,text,milestone
Want to join me for chat?,2,early_dating,email,separation
"Let’s talk this weekend, cool?",2,breaking_up,in_person,stress
I’m not sure I want to talk.,3,breaking_up,phone,stress
"I want to build, but I need some mi amor time to reflect. 🕰️",8,breaking_up,text,stress
I’m so betrayed with you right now!,1,committed,phone,milestone
"I think our time together, but I’m angry about this behavior. 😩",8,breaking_up,in_person,stress
We need to talk about your behavior.,1,married,in_person,stress
I feel exposed when we cherish.,7,married,phone,separation
Why do you always have to fighting like this?,1,long_distance,email,milestone
Why can’t you just fix this for once?,0,long_distance,email,conflict
Let’s plan our babe together.,4,committed,email,happiness
Can we talk about this {delay_time}?,3,early_dating,phone,conflict
I’m perfect when we’re together.,4,early_dating,email,stress
Being with you is wonderful.,4,breaking_up,text,separation
I’m amazing when we’re together.,4,committed,phone,happiness
I’m not sure if I’m doing this right. Can you {support_action} me?,7,breaking_up,phone,conflict
Why do you hang out with them so much?,5,long_distance,email,happiness
I’m not ready to go over yet.,3,long_distance,phone,milestone
I’m tired of your attitude games.,0,committed,text,separation
I’d rather not fighting about this.,3,breaking_up,email,happiness
I’m so blessed when I’m with you.,4,early_dating,text,conflict
Can we meet up later?,2,long_distance,in_person,happiness
"I love you, and I don’t want this {conflict_noun} to ruin our relationship.",6,early_dating,text,happiness
Can we chill and start fresh?,6,early_dating,text,stress
"I’m loved, but your secrets is too much. 😩",8,committed,phone,separation
I’m so betrayed with you right now!,1,breaking_up,phone,conflict
Stop blaming me with me.,1,breaking_up,email,separation
"You’re my mi amor, but I’m angry about this situation. 😩",8,early_dating,in_person,stress
Just wondering about day.,2,early_dating,in_person,milestone
I’m amazing when we’re together.,4,committed,phone,separation
Why do you chat with them so much?,5,early_dating,in_person,separation
Why can’t you just change for once?,0,early_dating,email,milestone
"Hey, what’s mood like?",2,married,in_person,stress
Can we chat later?,2,committed,phone,conflict
