id,text,label,Location,Purchase Frequency,Preferred Category,Loyalty Status,Device Used,Subscription Status,Feedback Sentiment Score,Days Since Last Purchase
4556,Decent product for the price.,Negative,San Antonio,Medium,Toys,Occasional,Tablet,Yes,-0.69,48
4557,Absolutely love this! Worth every penny.,Neutral,Philadelphia,Low,Toys,Occasional,Mobile,Yes,-0.09,54
4558,Not worth the money. Save your cash.,Positive,Philadelphia,High,Sports,Regular,Desktop,Yes,0.93,75
4559,"It works fine, nothing special though.",Negative,San Antonio,Low,Toys,New,Desktop,Yes,-0.55,41
4560,Great service and fast shipping!,Neutral,Houston,Low,Sports,Occasional,Mobile,Yes,-0.06,83
4561,The product is amazing! Highly recommend it.,Positive,Phoenix,Low,Home Goods,New,Desktop,Yes,0.68,61
4562,"Terrible quality, would not buy again.",Negative,Chicago,Medium,Home Goods,Regular,Mobile,Yes,-0.96,7
4563,"It's okay, but could be better.",Neutral,San Antonio,Medium,Clothing,Regular,Mobile,Yes,-0.1,53
4564,Best purchase ever! Love the features.,Positive,Los Angeles,Medium,Electronics,Regular,Desktop,No,0.53,93
4565,"The delivery was late, and the item was damaged.",Negative,Houston,High,Sports,Occasional,Mobile,No,-0.62,53
4566,Decent product for the price.,Neutral,San Antonio,Low,Toys,Regular,Mobile,No,-0.13,97
4567,Absolutely love this! Worth every penny.,Positive,San Antonio,High,Electronics,Regular,Tablet,No,0.54,26
4568,Not worth the money. Save your cash.,Negative,Philadelphia,High,Home Goods,Regular,Tablet,Yes,-0.92,93
4569,"It works fine, nothing special though.",Neutral,Los Angeles,Low,Toys,Regular,Tablet,Yes,-0.05,61
4570,Great service and fast shipping!,Positive,Los Angeles,Medium,Electronics,Occasional,Desktop,Yes,0.71,93
4571,The product is amazing! Highly recommend it.,Negative,Los Angeles,High,Sports,New,Desktop,Yes,-0.55,35
4572,"Terrible quality, would not buy again.",Neutral,San Antonio,Medium,Sports,Regular,Desktop,No,-0.09,3
4573,"It's okay, but could be better.",Positive,Chicago,Medium,Electronics,Occasional,Desktop,No,0.86,69
4574,Best purchase ever! Love the features.,Negative,New York,Medium,Sports,Regular,Mobile,No,-0.55,97
4575,"The delivery was late, and the item was damaged.",Neutral,Houston,Medium,Books,Regular,Mobile,No,0.14,64
4576,Decent product for the price.,Positive,New York,Low,Home Goods,Occasional,Tablet,Yes,0.6,11
4577,Absolutely love this! Worth every penny.,Negative,San Antonio,Medium,Clothing,Occasional,Mobile,Yes,-0.86,6
4578,Not worth the money. Save your cash.,Neutral,New York,Low,Clothing,New,Desktop,Yes,-0.18,2
4579,"It works fine, nothing special though.",Positive,San Antonio,Medium,Books,Occasional,Mobile,Yes,0.74,77
4580,Great service and fast shipping!,Negative,New York,High,Electronics,New,Tablet,Yes,-0.8,65
4581,The product is amazing! Highly recommend it.,Neutral,Los Angeles,Medium,Sports,Regular,Desktop,Yes,0.02,91
4582,"Terrible quality, would not buy again.",Positive,Phoenix,High,Books,Regular,Mobile,No,0.73,40
4583,"It's okay, but could be better.",Negative,Los Angeles,Medium,Books,Regular,Tablet,Yes,-0.63,15
4584,Best purchase ever! Love the features.,Neutral,Los Angeles,Medium,Sports,Occasional,Mobile,Yes,0.07,99
4585,"The delivery was late, and the item was damaged.",Positive,Philadelphia,Medium,Home Goods,Regular,Tablet,No,0.71,30
4586,Decent product for the price.,Negative,Philadelphia,High,Sports,Regular,Tablet,Yes,-0.98,6
4587,Absolutely love this! Worth every penny.,Neutral,New York,Medium,Sports,Occasional,Tablet,Yes,-0.06,98
4588,Not worth the money. Save your cash.,Positive,San Antonio,Low,Toys,Regular,Desktop,Yes,0.66,21
4589,"It works fine, nothing special though.",Negative,Los Angeles,High,Electronics,Regular,Mobile,Yes,-0.96,96
4590,Great service and fast shipping!,Neutral,New York,Medium,Clothing,Regular,Mobile,No,-0.08,57
4591,The product is amazing! Highly recommend it.,Positive,Philadelphia,Low,Clothing,Regular,Desktop,Yes,0.99,55
4592,"Terrible quality, would not buy again.",Negative,Phoenix,Medium,Books,Occasional,Desktop,Yes,-0.59,84
4593,"It's okay, but could be better.",Neutral,Houston,High,Books,Occasional,Mobile,Yes,0.12,99
4594,Best purchase ever! Love the features.,Positive,New York,Medium,Books,Regular,Desktop,No,0.92,63
4595,"The delivery was late, and the item was damaged.",Negative,Phoenix,Medium,Electronics,Regular,Desktop,Yes,-0.57,9
4596,Decent product for the price.,Neutral,Houston,High,Books,New,Mobile,No,-0.07,52
4597,Absolutely love this! Worth every penny.,Positive,Chicago,Medium,Books,Occasional,Tablet,No,0.66,37
4598,Not worth the money. Save your cash.,Negative,New York,Medium,Toys,Occasional,Desktop,Yes,-0.83,70
4599,"It works fine, nothing special though.",Neutral,New York,Low,Electronics,Occasional,Mobile,Yes,0.13,74
4600,Great service and fast shipping!,Positive,Chicago,Low,Home Goods,Regular,Mobile,No,0.9,9
4601,The product is amazing! Highly recommend it.,Negative,Chicago,Medium,Home Goods,New,Mobile,No,-0.99,97
4602,"Terrible quality, would not buy again.",Neutral,New York,High,Sports,Occasional,Desktop,Yes,0.18,16
4603,"It's okay, but could be better.",Positive,Chicago,Low,Toys,Regular,Tablet,Yes,0.64,32
4604,Best purchase ever! Love the features.,Negative,Los Angeles,Medium,Clothing,Occasional,Tablet,No,-0.69,84
4605,"The delivery was late, and the item was damaged.",Neutral,Houston,Low,Sports,Regular,Mobile,Yes,0.06,84
4606,Decent product for the price.,Positive,Houston,Medium,Home Goods,Regular,Desktop,No,0.56,3
4607,Absolutely love this! Worth every penny.,Negative,Houston,Low,Electronics,New,Desktop,No,-0.65,14
4608,Not worth the money. Save your cash.,Neutral,Los Angeles,Low,Clothing,New,Tablet,Yes,0.01,21
4609,"It works fine, nothing special though.",Positive,San Antonio,Low,Books,Regular,Tablet,No,0.81,72
4610,Great service and fast shipping!,Negative,Chicago,Medium,Electronics,Regular,Desktop,No,-0.78,88
4611,The product is amazing! Highly recommend it.,Neutral,Phoenix,Medium,Clothing,Occasional,Tablet,Yes,0.12,47
4612,"Terrible quality, would not buy again.",Positive,Chicago,Low,Home Goods,Regular,Mobile,Yes,0.82,21
4613,"It's okay, but could be better.",Negative,New York,High,Sports,Occasional,Tablet,No,-0.9,42
4614,Best purchase ever! Love the features.,Neutral,Philadelphia,Low,Books,Occasional,Desktop,Yes,0.1,96
4615,"The delivery was late, and the item was damaged.",Positive,Houston,Medium,Books,Occasional,Mobile,No,0.75,17
4616,Decent product for the price.,Negative,Chicago,High,Electronics,Occasional,Desktop,Yes,-0.98,40
4617,Absolutely love this! Worth every penny.,Neutral,Phoenix,Medium,Sports,Occasional,Tablet,No,-0.04,58
4618,Not worth the money. Save your cash.,Positive,New York,Medium,Books,New,Tablet,No,0.7,4
4619,"It works fine, nothing special though.",Negative,Los Angeles,Low,Clothing,Regular,Mobile,Yes,-0.6,42
4620,Great service and fast shipping!,Neutral,San Antonio,Medium,Toys,New,Mobile,Yes,-0.11,87
4621,The product is amazing! Highly recommend it.,Positive,Los Angeles,Medium,Home Goods,Regular,Mobile,Yes,0.73,57
4622,"Terrible quality, would not buy again.",Negative,Phoenix,High,Electronics,Regular,Mobile,No,-0.97,36
4623,"It's okay, but could be better.",Neutral,New York,Low,Sports,Regular,Tablet,No,0.15,52
4624,Best purchase ever! Love the features.,Positive,Houston,Medium,Toys,Occasional,Desktop,No,0.72,22
4625,"The delivery was late, and the item was damaged.",Negative,Chicago,Medium,Toys,Regular,Tablet,Yes,-0.57,89
4626,Decent product for the price.,Neutral,New York,High,Electronics,New,Tablet,Yes,0.07,68
4627,Absolutely love this! Worth every penny.,Positive,San Antonio,Low,Clothing,Occasional,Mobile,Yes,0.66,10
4628,Not worth the money. Save your cash.,Negative,Los Angeles,High,Sports,Regular,Mobile,Yes,-0.64,24
4629,"It works fine, nothing special though.",Neutral,San Antonio,Medium,Home Goods,Occasional,Desktop,Yes,-0.01,35
4630,Great service and fast shipping!,Positive,San Antonio,Medium,Electronics,New,Desktop,Yes,0.67,78
4631,The product is amazing! Highly recommend it.,Negative,Phoenix,Low,Sports,Occasional,Tablet,No,-0.67,20
4632,"Terrible quality, would not buy again.",Neutral,Phoenix,Medium,Toys,Regular,Desktop,Yes,0.11,52
4633,"It's okay, but could be better.",Positive,Chicago,Medium,Toys,New,Mobile,No,0.84,14
4634,Best purchase ever! Love the features.,Negative,Phoenix,Medium,Electronics,Occasional,Mobile,Yes,-0.77,39
4635,"The delivery was late, and the item was damaged.",Neutral,Phoenix,Low,Sports,Regular,Mobile,No,-0.1,73
4636,Decent product for the price.,Positive,New York,Low,Toys,Regular,Tablet,No,0.91,34
4637,Absolutely love this! Worth every penny.,Negative,Houston,High,Electronics,Occasional,Desktop,No,-0.83,84
4638,Not worth the money. Save your cash.,Neutral,Chicago,High,Electronics,New,Mobile,Yes,0.05,67
4639,"It works fine, nothing special though.",Positive,New York,Medium,Home Goods,Regular,Tablet,No,0.56,76
4640,Great service and fast shipping!,Negative,Houston,Low,Electronics,Regular,Tablet,Yes,-0.63,12
4641,The product is amazing! Highly recommend it.,Neutral,San Antonio,Medium,Sports,New,Tablet,Yes,0.18,42
4642,"Terrible quality, would not buy again.",Positive,New York,Medium,Sports,Regular,Desktop,No,0.72,86
4643,"It's okay, but could be better.",Negative,Philadelphia,High,Toys,New,Desktop,No,-0.73,99
4644,Best purchase ever! Love the features.,Neutral,New York,Medium,Books,Regular,Desktop,Yes,0.16,31
4645,"The delivery was late, and the item was damaged.",Positive,Phoenix,High,Home Goods,Occasional,Tablet,Yes,0.9,71
4646,Decent product for the price.,Negative,Houston,High,Sports,Regular,Tablet,Yes,-0.52,9
4647,Absolutely love this! Worth every penny.,Neutral,Chicago,High,Toys,New,Desktop,No,-0.09,51
4648,Not worth the money. Save your cash.,Positive,Chicago,Low,Toys,Occasional,Mobile,No,0.73,37
4649,"It works fine, nothing special though.",Negative,Houston,Low,Home Goods,New,Desktop,Yes,-0.77,22
4650,Great service and fast shipping!,Neutral,Phoenix,Medium,Home Goods,Occasional,Tablet,No,-0.01,9
4651,The product is amazing! Highly recommend it.,Positive,Los Angeles,Medium,Toys,Regular,Tablet,Yes,0.96,80
4652,"Terrible quality, would not buy again.",Negative,New York,Low,Books,Regular,Tablet,No,-0.9,64
4653,"It's okay, but could be better.",Neutral,Phoenix,Low,Clothing,Occasional,Tablet,No,0.16,63
4654,Best purchase ever! Love the features.,Positive,Philadelphia,Medium,Toys,Occasional,Tablet,Yes,0.79,85
4655,"The delivery was late, and the item was damaged.",Negative,San Antonio,Medium,Home Goods,New,Tablet,No,-0.73,73
4656,Decent product for the price.,Neutral,Houston,Medium,Electronics,Regular,Desktop,Yes,-0.03,12
4657,Absolutely love this! Worth every penny.,Positive,New York,Medium,Electronics,Occasional,Tablet,Yes,0.77,27
4658,Not worth the money. Save your cash.,Negative,Chicago,Medium,Home Goods,New,Tablet,No,-0.6,47
4659,"It works fine, nothing special though.",Neutral,San Antonio,Medium,Home Goods,Regular,Tablet,Yes,-0.0,73
4660,Great service and fast shipping!,Positive,Los Angeles,Low,Clothing,New,Tablet,Yes,0.89,91
4661,The product is amazing! Highly recommend it.,Negative,Philadelphia,Medium,Sports,Occasional,Tablet,No,-0.79,28
4662,"Terrible quality, would not buy again.",Neutral,Chicago,Medium,Home Goods,Occasional,Mobile,Yes,-0.13,35
4663,"It's okay, but could be better.",Positive,Houston,Low,Electronics,Regular,Desktop,Yes,0.71,38
4664,Best purchase ever! Love the features.,Negative,New York,Medium,Books,Regular,Desktop,Yes,-0.64,96
4665,"The delivery was late, and the item was damaged.",Neutral,Houston,Medium,Home Goods,Regular,Mobile,No,0.14,41
4666,Decent product for the price.,Positive,San Antonio,Medium,Clothing,New,Mobile,No,0.89,67
4667,Absolutely love this! Worth every penny.,Negative,New York,Medium,Books,New,Tablet,Yes,-0.81,56
4668,Not worth the money. Save your cash.,Neutral,Phoenix,Medium,Clothing,Regular,Desktop,No,0.03,9
4669,"It works fine, nothing special though.",Positive,Los Angeles,Medium,Books,New,Desktop,No,0.68,3
4670,Great service and fast shipping!,Negative,Phoenix,High,Home Goods,Occasional,Mobile,No,-0.65,51
4671,The product is amazing! Highly recommend it.,Neutral,Phoenix,Low,Electronics,New,Desktop,Yes,-0.03,77
4672,"Terrible quality, would not buy again.",Positive,Houston,High,Books,Regular,Desktop,No,0.88,49
4673,"It's okay, but could be better.",Negative,San Antonio,Medium,Toys,Regular,Tablet,No,-0.99,98
4674,Best purchase ever! Love the features.,Neutral,Los Angeles,Low,Sports,Occasional,Tablet,No,-0.06,94
4675,"The delivery was late, and the item was damaged.",Positive,New York,Low,Clothing,Regular,Tablet,Yes,0.94,80
4676,Decent product for the price.,Negative,New York,Medium,Books,Occasional,Desktop,Yes,-0.84,97
4677,Absolutely love this! Worth every penny.,Neutral,Philadelphia,Medium,Clothing,Occasional,Desktop,Yes,-0.04,35
4678,Not worth the money. Save your cash.,Positive,Chicago,Low,Electronics,Regular,Tablet,No,0.9,16
4679,"It works fine, nothing special though.",Negative,Philadelphia,Low,Clothing,Regular,Tablet,No,-0.95,40
4680,Great service and fast shipping!,Neutral,Philadelphia,Medium,Clothing,New,Desktop,No,-0.08,69
4681,The product is amazing! Highly recommend it.,Positive,New York,Low,Toys,Regular,Desktop,Yes,0.89,8
4682,"Terrible quality, would not buy again.",Negative,Houston,High,Clothing,Regular,Mobile,Yes,-0.52,54
4683,"It's okay, but could be better.",Neutral,Phoenix,Medium,Books,Occasional,Tablet,Yes,0.11,33
4684,Best purchase ever! Love the features.,Positive,San Antonio,Medium,Clothing,Occasional,Tablet,Yes,0.59,51
4685,"The delivery was late, and the item was damaged.",Negative,Phoenix,Medium,Home Goods,Occasional,Tablet,Yes,-0.58,94
4686,Decent product for the price.,Neutral,Phoenix,Low,Clothing,Occasional,Desktop,No,-0.01,2
4687,Absolutely love this! Worth every penny.,Positive,Los Angeles,High,Home Goods,Regular,Desktop,Yes,0.89,38
4688,Not worth the money. Save your cash.,Negative,New York,Low,Sports,Regular,Mobile,Yes,-0.88,56
4689,"It works fine, nothing special though.",Neutral,San Antonio,Medium,Clothing,Occasional,Mobile,Yes,-0.06,20
4690,Great service and fast shipping!,Positive,Houston,Medium,Sports,New,Tablet,Yes,0.95,52
4691,The product is amazing! Highly recommend it.,Negative,Los Angeles,Low,Clothing,Occasional,Mobile,Yes,-0.54,9
4692,"Terrible quality, would not buy again.",Neutral,Chicago,Medium,Books,Regular,Desktop,No,-0.09,65
4693,"It's okay, but could be better.",Positive,Houston,High,Home Goods,Regular,Mobile,Yes,0.54,66
4694,Best purchase ever! Love the features.,Negative,Philadelphia,Medium,Sports,Regular,Mobile,Yes,-0.54,19
4695,"The delivery was late, and the item was damaged.",Neutral,Houston,High,Sports,Occasional,Desktop,Yes,-0.08,16
4696,Decent product for the price.,Positive,Houston,High,Home Goods,Regular,Tablet,No,0.56,69
4697,Absolutely love this! Worth every penny.,Negative,Phoenix,Medium,Toys,Regular,Tablet,No,-0.83,96
4698,Not worth the money. Save your cash.,Neutral,Houston,Medium,Clothing,Occasional,Mobile,Yes,-0.09,20
4699,"It works fine, nothing special though.",Positive,Philadelphia,Medium,Clothing,Occasional,Desktop,No,0.54,52
4700,Great service and fast shipping!,Negative,Philadelphia,Medium,Books,Occasional,Desktop,Yes,-0.51,14
4701,The product is amazing! Highly recommend it.,Neutral,New York,Low,Toys,Occasional,Mobile,No,-0.08,77
4702,"Terrible quality, would not buy again.",Positive,Houston,High,Toys,Occasional,Tablet,Yes,0.64,91
4703,"It's okay, but could be better.",Negative,Phoenix,Medium,Books,Regular,Tablet,Yes,-0.79,35
4704,Best purchase ever! Love the features.,Neutral,Houston,Medium,Sports,Occasional,Tablet,Yes,-0.03,57
4705,"The delivery was late, and the item was damaged.",Positive,Chicago,Medium,Home Goods,Regular,Desktop,Yes,0.72,34
4706,Decent product for the price.,Negative,Chicago,Medium,Sports,Regular,Desktop,Yes,-0.55,59
4707,Absolutely love this! Worth every penny.,Neutral,Phoenix,High,Electronics,Occasional,Desktop,Yes,-0.18,80
4708,Not worth the money. Save your cash.,Positive,New York,Medium,Books,Occasional,Tablet,Yes,0.97,28
4709,"It works fine, nothing special though.",Negative,New York,Low,Home Goods,Occasional,Mobile,Yes,-0.67,43
4710,Great service and fast shipping!,Neutral,Philadelphia,Low,Sports,Occasional,Desktop,No,0.08,35
4711,The product is amazing! Highly recommend it.,Positive,Philadelphia,High,Sports,New,Desktop,No,0.58,15
4712,"Terrible quality, would not buy again.",Negative,Los Angeles,Medium,Toys,Occasional,Mobile,Yes,-0.84,3
4713,"It's okay, but could be better.",Neutral,Phoenix,High,Books,Occasional,Tablet,Yes,-0.18,91
4714,Best purchase ever! Love the features.,Positive,Houston,Low,Electronics,Occasional,Desktop,Yes,0.83,27
4715,"The delivery was late, and the item was damaged.",Negative,San Antonio,Low,Clothing,Regular,Tablet,Yes,-0.83,4
4716,Decent product for the price.,Neutral,Phoenix,Low,Books,Regular,Desktop,Yes,0.02,85
4717,Absolutely love this! Worth every penny.,Positive,Los Angeles,Medium,Electronics,Occasional,Desktop,Yes,0.88,22
4718,Not worth the money. Save your cash.,Negative,Philadelphia,Medium,Electronics,Regular,Mobile,Yes,-0.72,69
4719,"It works fine, nothing special though.",Neutral,Phoenix,Low,Books,Occasional,Mobile,No,-0.17,23
4720,Great service and fast shipping!,Positive,Phoenix,Medium,Home Goods,Occasional,Mobile,No,0.53,87
4721,The product is amazing! Highly recommend it.,Negative,Philadelphia,Medium,Books,New,Mobile,No,-0.57,13
4722,"Terrible quality, would not buy again.",Neutral,Los Angeles,Low,Sports,New,Tablet,No,-0.1,60
4723,"It's okay, but could be better.",Positive,Philadelphia,Medium,Toys,Regular,Tablet,No,0.68,27
4724,Best purchase ever! Love the features.,Negative,New York,Medium,Sports,Occasional,Tablet,Yes,-0.89,50
4725,"The delivery was late, and the item was damaged.",Neutral,Houston,Low,Electronics,Regular,Mobile,Yes,0.08,79
4726,Decent product for the price.,Positive,Philadelphia,Low,Electronics,Regular,Desktop,No,0.69,12
4727,Absolutely love this! Worth every penny.,Negative,Los Angeles,Medium,Clothing,Occasional,Tablet,Yes,-0.77,10
4728,Not worth the money. Save your cash.,Neutral,Chicago,Medium,Electronics,Regular,Mobile,Yes,0.07,49
4729,"It works fine, nothing special though.",Positive,New York,High,Clothing,Regular,Mobile,Yes,0.81,92
4730,Great service and fast shipping!,Negative,Chicago,Medium,Electronics,New,Mobile,Yes,-0.61,35
4731,The product is amazing! Highly recommend it.,Neutral,San Antonio,Low,Electronics,New,Tablet,Yes,0.1,38
4732,"Terrible quality, would not buy again.",Positive,Philadelphia,High,Books,Occasional,Desktop,No,0.72,54
4733,"It's okay, but could be better.",Negative,New York,High,Books,New,Tablet,Yes,-0.9,20
4734,Best purchase ever! Love the features.,Neutral,Houston,Medium,Toys,Occasional,Mobile,Yes,-0.11,12
4735,"The delivery was late, and the item was damaged.",Positive,Philadelphia,High,Sports,Regular,Mobile,No,0.85,3
4736,Decent product for the price.,Negative,Houston,Medium,Home Goods,Occasional,Mobile,Yes,-0.87,2
4737,Absolutely love this! Worth every penny.,Neutral,Phoenix,Medium,Toys,Occasional,Tablet,No,-0.02,92
4738,Not worth the money. Save your cash.,Positive,Chicago,Medium,Electronics,Regular,Desktop,No,0.55,22
4739,"It works fine, nothing special though.",Negative,New York,Medium,Toys,New,Tablet,Yes,-0.94,35
4740,Great service and fast shipping!,Neutral,Houston,Low,Books,Occasional,Mobile,No,-0.1,9
4741,The product is amazing! Highly recommend it.,Positive,Los Angeles,High,Sports,Regular,Mobile,Yes,0.54,87
4742,"Terrible quality, would not buy again.",Negative,Houston,High,Electronics,Regular,Mobile,No,-0.86,17
4743,"It's okay, but could be better.",Neutral,Los Angeles,Medium,Electronics,Regular,Tablet,No,0.03,14
4744,Best purchase ever! Love the features.,Positive,Philadelphia,Medium,Toys,New,Tablet,No,0.87,32
4745,"The delivery was late, and the item was damaged.",Negative,New York,Low,Sports,Occasional,Tablet,No,-0.98,59
4746,Decent product for the price.,Neutral,Houston,Low,Clothing,Occasional,Mobile,Yes,0.04,58
4747,Absolutely love this! Worth every penny.,Positive,San Antonio,Low,Home Goods,Occasional,Tablet,No,0.68,36
4748,Not worth the money. Save your cash.,Negative,Houston,Medium,Sports,Occasional,Desktop,Yes,-0.89,33
4749,"It works fine, nothing special though.",Neutral,San Antonio,High,Toys,Occasional,Desktop,Yes,-0.19,74
4750,Great service and fast shipping!,Positive,New York,Low,Toys,Occasional,Desktop,No,0.66,64
4751,The product is amazing! Highly recommend it.,Negative,Houston,Low,Home Goods,New,Tablet,No,-0.61,13
4752,"Terrible quality, would not buy again.",Neutral,Los Angeles,Medium,Electronics,New,Mobile,Yes,0.01,34
4753,"It's okay, but could be better.",Positive,Houston,Low,Electronics,New,Mobile,No,0.89,5
4754,Best purchase ever! Love the features.,Negative,Chicago,High,Clothing,Occasional,Mobile,No,-0.79,70
4755,"The delivery was late, and the item was damaged.",Neutral,Philadelphia,Medium,Toys,New,Mobile,Yes,0.14,33
4756,Decent product for the price.,Positive,Phoenix,Low,Home Goods,Occasional,Mobile,Yes,0.58,5
4757,Absolutely love this! Worth every penny.,Negative,Los Angeles,Low,Toys,New,Tablet,No,-0.59,88
4758,Not worth the money. Save your cash.,Neutral,Chicago,Low,Books,New,Desktop,Yes,-0.01,72
4759,"It works fine, nothing special though.",Positive,San Antonio,Medium,Toys,New,Tablet,No,0.87,18
4760,Great service and fast shipping!,Negative,Philadelphia,Low,Toys,New,Mobile,No,-0.88,89
4761,The product is amazing! Highly recommend it.,Neutral,New York,Medium,Books,Occasional,Tablet,No,-0.01,18
4762,"Terrible quality, would not buy again.",Positive,Los Angeles,Medium,Books,Regular,Tablet,Yes,0.87,26
4763,"It's okay, but could be better.",Negative,Phoenix,Low,Home Goods,Regular,Tablet,Yes,-0.76,84
4764,Best purchase ever! Love the features.,Neutral,Philadelphia,Low,Electronics,Occasional,Mobile,Yes,-0.02,20
4765,"The delivery was late, and the item was damaged.",Positive,San Antonio,Medium,Clothing,Regular,Mobile,Yes,0.91,88
4766,Decent product for the price.,Negative,Phoenix,Medium,Books,Occasional,Mobile,No,-0.92,84
4767,Absolutely love this! Worth every penny.,Neutral,New York,High,Electronics,Occasional,Tablet,Yes,-0.01,4
4768,Not worth the money. Save your cash.,Positive,New York,Low,Home Goods,Occasional,Tablet,Yes,0.91,22
4769,"It works fine, nothing special though.",Negative,San Antonio,Low,Sports,New,Desktop,No,-0.58,89
4770,Great service and fast shipping!,Neutral,Los Angeles,Low,Toys,Occasional,Desktop,No,-0.15,85
4771,The product is amazing! Highly recommend it.,Positive,San Antonio,Medium,Home Goods,Occasional,Mobile,Yes,0.93,82
4772,"Terrible quality, would not buy again.",Negative,Houston,Medium,Home Goods,Occasional,Desktop,Yes,-0.99,73
4773,"It's okay, but could be better.",Neutral,New York,High,Books,New,Mobile,No,0.14,9
4774,Best purchase ever! Love the features.,Positive,Philadelphia,Medium,Clothing,Regular,Mobile,Yes,0.63,59
4775,"The delivery was late, and the item was damaged.",Negative,Houston,Low,Books,Regular,Tablet,No,-0.71,33
4776,Decent product for the price.,Neutral,Chicago,Medium,Toys,New,Desktop,No,-0.2,7
4777,Absolutely love this! Worth every penny.,Positive,Phoenix,High,Books,Occasional,Mobile,No,0.87,33
4778,Not worth the money. Save your cash.,Negative,Houston,Medium,Toys,Occasional,Mobile,Yes,-0.78,66
4779,"It works fine, nothing special though.",Neutral,Phoenix,Medium,Books,Occasional,Desktop,Yes,0.14,72
4780,Great service and fast shipping!,Positive,San Antonio,High,Sports,Regular,Desktop,No,0.78,97
4781,The product is amazing! Highly recommend it.,Negative,Houston,Medium,Clothing,Occasional,Desktop,No,-0.58,59
4782,"Terrible quality, would not buy again.",Neutral,San Antonio,Medium,Sports,Regular,Desktop,No,0.04,35
4783,"It's okay, but could be better.",Positive,Chicago,Low,Electronics,Occasional,Desktop,Yes,0.87,93
4784,Best purchase ever! Love the features.,Negative,New York,Medium,Clothing,Occasional,Desktop,Yes,-0.63,32
4785,"The delivery was late, and the item was damaged.",Neutral,Chicago,Low,Books,Occasional,Desktop,Yes,-0.1,1
4786,Decent product for the price.,Positive,New York,Medium,Home Goods,Occasional,Mobile,Yes,0.79,95
4787,Absolutely love this! Worth every penny.,Negative,San Antonio,Low,Electronics,New,Tablet,No,-0.56,52
4788,Not worth the money. Save your cash.,Neutral,New York,High,Home Goods,Occasional,Mobile,Yes,0.15,35
4789,"It works fine, nothing special though.",Positive,Phoenix,High,Sports,New,Mobile,Yes,0.69,40
4790,Great service and fast shipping!,Negative,Philadelphia,Medium,Clothing,Occasional,Tablet,No,-0.84,44
4791,The product is amazing! Highly recommend it.,Neutral,Chicago,Low,Electronics,Occasional,Tablet,No,0.06,39
4792,"Terrible quality, would not buy again.",Positive,Houston,Low,Sports,Regular,Tablet,No,0.89,20
4793,"It's okay, but could be better.",Negative,Chicago,Medium,Books,Regular,Desktop,No,-0.98,97
4794,Best purchase ever! Love the features.,Neutral,Phoenix,Medium,Home Goods,Occasional,Desktop,Yes,-0.16,87
4795,"The delivery was late, and the item was damaged.",Positive,New York,Medium,Books,Regular,Desktop,Yes,0.89,3
4796,Decent product for the price.,Negative,Phoenix,Medium,Toys,Occasional,Mobile,No,-0.78,53
4797,Absolutely love this! Worth every penny.,Neutral,Los Angeles,Medium,Electronics,Occasional,Tablet,No,0.07,12
4798,Not worth the money. Save your cash.,Positive,Los Angeles,Medium,Home Goods,New,Tablet,Yes,0.91,8
4799,"It works fine, nothing special though.",Negative,Houston,Medium,Clothing,New,Mobile,Yes,-0.62,64
4800,Great service and fast shipping!,Neutral,Phoenix,Medium,Clothing,Regular,Desktop,Yes,0.12,41
4801,The product is amazing! Highly recommend it.,Positive,San Antonio,Medium,Clothing,Regular,Tablet,No,0.76,11
4802,"Terrible quality, would not buy again.",Negative,Houston,Low,Sports,Occasional,Mobile,No,-0.92,26
4803,"It's okay, but could be better.",Neutral,San Antonio,Low,Clothing,Regular,Desktop,Yes,-0.01,87
4804,Best purchase ever! Love the features.,Positive,Houston,Medium,Home Goods,Regular,Mobile,Yes,0.98,38
4805,"The delivery was late, and the item was damaged.",Negative,Los Angeles,Low,Sports,New,Desktop,No,-0.85,5
4806,Decent product for the price.,Neutral,Houston,Medium,Toys,New,Mobile,No,-0.03,32
4807,Absolutely love this! Worth every penny.,Positive,Los Angeles,Medium,Clothing,Occasional,Desktop,Yes,0.88,69
4808,Not worth the money. Save your cash.,Negative,New York,High,Clothing,Occasional,Mobile,No,-0.96,15
4809,"It works fine, nothing special though.",Neutral,San Antonio,Medium,Sports,Occasional,Mobile,Yes,0.1,61
4810,Great service and fast shipping!,Positive,Phoenix,Low,Clothing,Occasional,Mobile,Yes,0.64,52
4811,The product is amazing! Highly recommend it.,Negative,Houston,Low,Toys,Occasional,Mobile,No,-0.87,87
4812,"Terrible quality, would not buy again.",Neutral,Los Angeles,High,Sports,Occasional,Tablet,No,0.03,28
4813,"It's okay, but could be better.",Positive,Chicago,Low,Sports,Regular,Tablet,Yes,0.63,19
4814,Best purchase ever! Love the features.,Negative,San Antonio,Medium,Electronics,New,Tablet,No,-0.68,54
4815,"The delivery was late, and the item was damaged.",Neutral,Houston,Medium,Sports,Occasional,Tablet,No,0.16,81
4816,Decent product for the price.,Positive,Philadelphia,Medium,Clothing,Occasional,Mobile,No,0.7,15
4817,Absolutely love this! Worth every penny.,Negative,New York,Medium,Sports,New,Tablet,No,-0.53,13
4818,Not worth the money. Save your cash.,Neutral,New York,Medium,Clothing,Regular,Tablet,Yes,0.18,87
4819,"It works fine, nothing special though.",Positive,Chicago,High,Clothing,Regular,Mobile,No,0.6,82
